"Monday, Sep 16 2024",,,
AB 103,,,
BU 221,,,
Event Times,Event,Contact,
,,,
BU 23,,,
Event Times,Event,Contact,
,,,
BU 24,,,
Event Times,Event,Contact,
9:00 A.M. - 9:50 A.M.,"STEP 1000 09A XL 16814, MWF 0900-0950 CLAS 08/26",,
11:00 A.M. - 11:50 A.M.,"HIST 1320 01 13670, MWF 1100-1150 CLAS 08/26",,
12:00 P.M. - 12:50 P.M.,"ENGL 1010 36 XL 14017, MWF 1200-1250 CLAS 08/26","LYNX, CNET",
12:00 P.M. - 12:50 P.M.,"ENGL 1010 36A XL 15667, MWF 1200-1250 CLAS 08/26",,
5:30 P.M. - 8:00 P.M.,Residence Life Meeting,"Thomas, Cole",
BU 259,,,
Event Times,Event,Contact,
9:00 A.M. - 9:50 A.M.,"GERM 1010 01 11040, MTWR 0900-0950 CLAS 08/26","Garcia, Veronica",
9:00 A.M. - 9:50 A.M.,"GERM 1020 01 18248, MTWR 0900-0950 CLAS 08/26","Garcia, Veronica",
10:00 A.M. - 10:50 A.M.,"GERM 1020 02 18249, MTWR 1000-1050 CLAS 08/26","Garcia, Veronica",
12:30 P.M. - 3:00 P.M.,"COJO 5210 01 13052, M 1230-1500 CLAS 08/26","Garcia, Veronica",
BU 26,,,
Event Times,Event,Contact,
,,,
BU 8,,,
Event Times,Event,Contact,
8:00 A.M. - 8:50 A.M.,"MATH 2350 20 10459, MW 0800-0850 CLAS 08/26",,
9:00 A.M. - 9:50 A.M.,"MATH 2350 21 10460, MW 0900-0950 CLAS 08/26",,
11:00 A.M. - 11:50 A.M.,"MATH 2355 22 MMP 10468, M 1100-1150 CLAS 08/26",,
5:00 P.M. - 7:00 P.M.,Competitive Speech Team,"Ward, William",
BU 9,,,
Event Times,Event,Contact,
9:00 A.M. - 9:50 A.M.,"STEP 1000 06 XL 16789, MWF 0900-0950 CLAS 08/26",,
9:00 A.M. - 9:50 A.M.,"STEP 1000 06A XL 16811, MWF 0900-0950 CLAS 08/26",,
10:00 A.M. - 10:50 A.M.,"STEP 1000 13 XL 16797, MWF 1000-1050 CLAS 08/26",,
10:00 A.M. - 10:50 A.M.,"STEP 1000 13A XL 16818, MWF 1000-1050 CLAS 08/26",,
11:00 A.M. - 11:50 A.M.,"STEP 1000 04 XL 16787, MWF 1100-1150 CLAS 08/26",,
11:00 A.M. - 11:50 A.M.,"STEP 1000 04A XL 16809, MWF 1100-1150 CLAS 08/26",,
BU AUD,,,
Event Times,Event,Contact,
9:00 A.M. - 9:50 A.M.,"HIST 1251 01 11048, MW 0900-0950 CLAS 08/26",,
10:00 A.M. - 10:50 A.M.,"MGT 2010 01 16561, MWF 1000-1050 CLAS 08/26",,
11:00 A.M. - 11:50 A.M.,"ESE 3040 01 XL 14332, MWF 1100-1150 CLAS 08/26","Wheat, Lynn",
11:00 A.M. - 11:50 A.M.,"ME 3040 01 XL 10491, MWF 1100-1150 CLAS 08/26","Garcia, Veronica",
12:00 P.M. - 12:50 P.M.,"LIFE 1002 01 11460, MWF 1200-1250 CLAS 08/26",,
